from,to,population
Namayan,Stateless & unmapped,6291.6409912109375
County of Pallars Jussà,Crown of Aragon,6278.843612670898
Khanates of the Caucasus,Ottoman Empire,6277.389892578125
Polish-Lithuanian Commonwealth,(Holy Roman Empire),6271.813232421875
Serbian Despots,Ottoman Empire,6271.21276473999
Despotate of Epirus,Catalan Company,6269.161285400391
Kingdom of Armenia,Caucasian Iberia,6254.822020149231
Kamarupa Kingdom,Tibetan Empire,6243.484522342682
County of Pallars,County of Pallars Jussà,6239.306221008301
United States of America,British Colonial Empire,6236.922733306885
Stateless & unmapped,Hafsid Dynasty,6226.577911376953
Yan,Xiongnu,6219.980195617675
Catalan Company,Ottoman Empire,6213.36315536499
Stateless & unmapped,Ava Kingdom,6201.7901611328125
Chu,Yue,6193.199874949455
Golconda Sultanate,Bijapur Sultanate,6192.696533203125
Sultanate of Jambi,Dutch East Indies,6185.9254150390625
Babylonia,Mitanni,6173.447677612305
Shunten Dynasty,Chüzan,6148.052703857422
Norse,Stateless & unmapped,6141.147811070085
Habsburg Monarchy,Stateless & unmapped,6131.423156738281
Western Jin,Stateless & unmapped,6099.356548070908
Khanate of Kokand,Kazakh Khanate,6089.622085571289
Kievan Rus',Halych-Volhynia occupation,6085.360529318452
Byzantine Empire,House of Tocco,6081.180253982544
Stateless & unmapped,Principality of Abkhazia,6073.40372467041
Visigothic Kingdom,Burgundian Kingdom,6069.949249267578
Principality of Liechtenstein,Stateless & unmapped,6069.263671875
Zhongshan,Stateless & unmapped,6060.9091796875
Qi,Wei,6059.521472167969
Kara-Khitans,Stateless & unmapped,6057.584104191512
Kingdom of Asturias,Stateless & unmapped,6052.533142089844
Chu,Jin,6036.037283325196
Kingdom of Croatia,(Holy Roman Empire),5953.203140258789
Tsardom of Russia,Ottoman Empire,5952.321060180664
Duchy of Silesia,Margraviate of Brandenburg,5944.012268066406
Holy Roman Empire Minor States,Kingdom of Arles,5943.740692138672
Chaulukya Dynasty,Yadava Dynasty,5943.63720703125
Sukhothai Kingdom,Ngô Dynasty,5935.337379455566
Greek Colonies,Antigonid Macedonia,5934.647914123535
Republic of Florence,Ottoman Empire,5898.331256866455
Burgundian Kingdom,Visigothic Kingdom,5888.567832946777
Dutch Republic,Sultanate of Malacca,5855.928649902344
Kingdom of Portugal,Kingdom of Spain,5852.730033874512
Hamdanid Emirates,Fatimid Caliphate,5840.173675537109
Wey,Wei,5836.552490234375
Empire of Trebizond,Ilkhanate,5822.0137939453125
Zengid dynasty,Mamluk Sultanate,5818.27880859375
Lavo Kingdom,Pagan Kingdom,5815.336758613586
Crown of Aragon,Kingdom of France,5806.108459472656
Kingdom of Israel,Philistia,5793.735156250001
Qasimids,Ottoman Empire,5784.1551904678345
Song,Wey,5768.550491333008
Kingdom of France,County of Touraine,5761.81982421875
Helvetic Republic,Swiss Confederation,5734.01611328125
Stateless & unmapped,Kazakh Khanate,5732.21498837322
Cambodia,Khmer Empire,5723.6962890625
Xu,Zhu,5708.077731323243
Sultanate of Kedah,Sultanate of Perak,5705.503227233887
Kingdom of Bohemia,Kingdom of Hungary,5705.192901611328
Stateless & unmapped,Jaemtland,5701.440562975127
Principality of Mingrelia,Principality of Svaneti,5695.084857940674
Stateless & unmapped,Emirate of Granada,5659.5529708862305
Gorkha Kingdom,Kathmandu,5658.189453125
Kingdom of Spain,Kingdom of Portugal,5651.007247924805
Nguyễn dynasty,Qing Dynasty,5636.970947265625
Stateless & unmapped,Crimean Khanate,5620.926446914673
Kingdom of France,County of Flanders,5615.807159423828
Republic of Turkey,Stateless & unmapped,5608.57763671875
Stateless & unmapped,Jaffna kingdom,5601.150617182255
Stateless & unmapped,Kingdom of Croatia,5598.654083251953
Stateless & unmapped,Unified Silla,5597.825347900391
Sultanate of Terengganu,Stateless & unmapped,5596.919921875
Ethiopian Empire,British Africa,5577.1359305381775
Duchy of Sandomierz,Duchy of Opole,5576.8167724609375
Sultanate of Cirebon,Stateless & unmapped,5569.794677734375
Ottoman Empire,Republic of Florence,5547.592359542847
Kingdom of Bhutan,Stateless & unmapped,5546.97216796875
Pyu City-States,Stateless & unmapped,5538.209728240967
Blambangan Kingdom,Stateless & unmapped,5532.713134765625
Portuguese Empire,Mughal Empire,5530.55029296875
County of Brabant,County of Flanders,5515.288330078125
Republic of Florence,Papal States,5513.478576660156
Gupta Empire,Western Satraps,5513.0899658203125
Kingdom of Georgia,Stateless & unmapped,5509.046245574951
Stateless & unmapped,Sultanate of Muscat and Oman,5504.757128477097
Patriarchate of Aquileia,House of Habsburg,5472.50358581543
Principality of Orange,(Dutch Republic),5467.05615234375
Duchy of Gascony,West Franks,5465.455459594727
Scythia,Greek City-States,5462.678766465191
County of Flanders,County of Vermandois,5448.8216552734375
New Netherland,Stateless & unmapped,5447.493552684784
Principality of Monaco,Ottoman Empire,5443.017333984375
Tondo,Stateless & unmapped,5437.43310546875
Nanda Empire,Kalinga,5425.462341308594
Kingdom of Serbia,Banate of Bosnia,5420.702220916748
Kingdom of France,Holy Roman Empire Minor States,5389.8082275390625
County of Urgell,Kingdom of Majorca,5371.696594238281
Duchy of Spoleto,Papal States,5361.667053222656
Ashanti Empire,Stateless & unmapped,5349.56787109375
Hamdanid Emirates,Kingdom of Vaspurakan,5347.148712158203
County of Ampuria,Stateless & unmapped,5337.866638183594
Serbian Empire,House of Habsburg,5337.422882080078
Stateless & unmapped,Fihrids,5335.989341497421
Sultanate of Rum,Empire of Trebizond,5330.000518798828
Bavarians,Stateless & unmapped,5327.91259765625
Mongol Empire,Principality of Beloozero,5311.456171035767
Principality of Beloozero,Grand Principality of Moscow,5311.456171035767
Goryeo,Great Jin,5306.7163162231445
(Holy Roman Empire),Kingdom of Poland,5305.0909423828125
Kingdom of Bohemia,House of Habsburg,5301.527038574219
Kingdom of France,County of Auvergne,5285.091613769531
German Empire,(Netherlands),5282.91064453125
Later Yan,Rouran Khaganate,5273.268936157227
County of Barcelona,County of Berga,5259.27001953125
Sultanate of Maguindanao,United States of America,5255.446563720703
Kingdom of Serbia,Second Bulgarian Empire,5240.877670288086
Habsburg Monarchy,Duchy of Bavaria,5232.687438964844
Eastern Ganga Kingdom,Yadava Dynasty,5227.447967529297
(Kingdom of the Franks),Magna Frisia,5209.17108297348
Stateless & unmapped,Later Shu,5208.665489196777
Stateless & unmapped,Sultanate of Cirebon,5207.5078125
Ptolemaic Kingdom,Kingdom of Armenia,5199.484335479737
Sajid Dynasty,Bagratid Armenia,5195.308135032654
Serbs,Austria-Hungary,5187.06689453125
Stateless & unmapped,Republic of Florence,5176.947082519531
Qing Dynasty,Emirate of Bukhara,5174.895439147949
Ottoman Empire,Principality of Wallachia,5156.8214111328125
Stateless & unmapped,Francoist Spain,5143.042423248291
Sultanate of Rum,Armenian Kingdom of Cilicia,5137.4697551727295
Kingdom of Armenia,Macedonian Empire,5129.413688354493
German Confederation,Luxembourg,5129.10302734375
Kingdom of Lazica,Abbasid Caliphate,5126.829032897949
Phoenicia,Stateless & unmapped,5095.429297542572
Later Zhao,Western Jin,5094.824157714844
Golden Horde,Republic of Genoa,5083.95844078064
Zheng,Chu,5071.680615234374
Stateless & unmapped,Kingdom of Jordan,5054.552721053362
Han Dynasty,Goguryeo,5049.731821060181
Saxons,Obotrites,5025.457763671875
Argentine Confederation,Paraguay,5023.151945114136
Wadai Empire,British Africa,5019.05029296875
Kingdom of Armenia,Stateless & unmapped,5010.866291427612
Swiss Confederation,Holy Roman Empire Minor States,4995.845620274544
Second Republic of Austria,Czech Republic,4986.722106933594
Portuguese Colonies,British Raj,4978.842834472656
West Franks,Stateless & unmapped,4975.907520294189
Roman Republic,Kingdom of Pontus,4969.38916015625
Sultanate of Oman,Qatar Dynasty,4962.059740066528
Armenian Kingdom of Cilicia,Beylik of Dulkadir,4951.933303833008
Haudenosaunee,New France,4949.98489452526
Greek City-States,Cimmerian Bosporus,4947.425679945945
Holy Roman Empire Minor States,House of Ascania,4942.937606811523
Maratha Empire,Portuguese Colonies,4937.709228515625
Colchis,Kingdom of Pontus,4935.713195800781
Kingdom of Powys,Kingdom of Mercia,4910.135213851929
County of Rosellón,County of Barcelona,4904.966552734375
Sind-Habbari Dynasty,Stateless & unmapped,4903.0022048950195
Chauhan Dynasty,Paramara Dynasty,4900.29736328125
Kashmir,Tughlaq Dynasty,4899.529541015625
Greek City-States,Achaean League,4894.048223876954
Stateless & unmapped,Taifa of Murcia,4881.792449951172
Natalia Republic,British Africa,4877.345058441162
Jaffna kingdom,Stateless & unmapped,4870.6085205078125
County of Touraine,Kingdom of France,4869.32275390625
Kingdom of Spain,House of Savoy,4868.0948486328125
Electorate of Saxony,(Habsburg Monarchy),4863.073486328125
Stateless & unmapped,House of Valois-Anjou,4857.51416015625
Majapahit,Sultanate of Cirebon,4853.2177734375
Duchy of Masovia,Grand Duchy of Lithuania,4852.2935791015625
Spanish Empire,Safavid Dynasty,4845.540729522705
Kingdom of France,Iberian Union,4812.236083984375
Kazakh Khanate,Stateless & unmapped,4809.2999144382775
Stateless & unmapped,Iberian Union,4808.5018310546875
Kingdom of France,Capetian House of Anjou,4805.763427734375
Second Bulgarian Empire,Mongol Empire,4783.0650634765625
Sunda Kingdom,Stateless & unmapped,4776.758880615234
Lazica,Huns,4762.920768737793
Byzantine Empire,Duchy of the Archipelago,4760.579219818115
Empire of Trebizond,Stateless & unmapped,4759.072082519531
Athenian Coalition,Greek City-States,4758.102439880371
Taifa of Murcia,Stateless & unmapped,4758.062255859375
Sultanate of Mempawah,Dutch East Indies,4753.697605133057
Ming Dynasty,Tibet,4747.514144897461
County of Rosellón,Stateless & unmapped,4746.781005859375
Grand Duchy of Lithuania,Principality of Moldavia,4729.322975158691
Great Jin,Southern Song,4728.3982009887695
Holy Roman Empire,Principality of Orange,4728.2647705078125
Ghaznavid Empire,Stateless & unmapped,4715.5989504903555
East Franks,Kingdom of Italy,4711.021858215332
Chagatai Khanate,Kashmiri Sultanate,4694.605646133423
County of Rosellón,County of Ampuria,4694.268157958984
Stateless & unmapped,Shirvan,4685.536821365356
Sultanate of Johor,Sultanate of Malacca,4683.159439086914
Assyria,Mitanni,4681.754981040955
Chu,Qi,4672.1772537231445
Great Seljuk Empire,County of Edessa,4649.444709777832
Swiss Confederation,Kingdom of Spain,4648.5338134765625
County of Berga,County of Osona,4634.318359375
French Africa,Republic of Sudan,4626.49609375
British Colonial Empire,Republic of Nicaragua,4626.378263771534
Macedonian Empire,Kingdom of Armenia,4621.73007659912
Stateless & unmapped,Kingdom of Gwynedd,4620.956933021545
Funj Sultanate,Sultanate of Darfur,4602.067207336426
Kingdom of Dali,Stateless & unmapped,4600.99543762207
Huns,Lazica,4598.177707672119
Zhu,Lu,4595.353874969483
Duchy of Burgundy,House of Valois-Anjou,4577.606140136719
Holy Roman Empire,Republic of Venice,4571.933776855469
Konbaung Dynasty,Stateless & unmapped,4570.305595397949
Qajar Dynasty,Ottoman Empire,4560.3231201171875
Golden Horde,Ming Dynasty,4553.759902954102
Dál Riata,Stateless & unmapped,4553.468170166016
Serbia-Montenegro,Bosnia and Herzegovina,4552.492813110352
Western Göktürks,Khazaria,4551.523659706116
Morocco,French Africa,4534.225131988525
Itza Mayans,English Colonial Empire,4532.957808017731
Chen,Zheng,4531.501611328125
Kingdom of Castile,Taifa of Valencia,4522.553894042969
Georgia,Russian-occupied territories,4519.9052991867065
Chauhan Dynasty,Sind-Habbari Dynasty,4509.953369140625
(Taifas of Iberia),Stateless & unmapped,4485.459899902344
Republic of Tajikistan,Afghanistan,4483.203125
Byzantine Empire,Abbasid Caliphate,4477.878265380859
Ayyubid Sultanate,Stateless & unmapped,4475.914268493652
Sarbadars,Stateless & unmapped,4475.302385568619
Swiss Confederation,(Holy Roman Empire),4475.19287109375
Stateless & unmapped,Hanthawaddy Kingdom,4467.668518066406
Stateless & unmapped,Netherlands,4465.67626953125
Stateless & unmapped,Kingdom of Judah,4463.216259765626
(Holy Roman Empire),Principality of Liechtenstein,4460.02099609375
Principality of Achaea,Republic of Venice,4455.923328399658
House of Luxembourg,Stateless & unmapped,4451.6851806640625
Aq Qoyunlu,Portuguese Empire,4450.888423919678
Spanish Empire,New Netherland,4445.395079612732
Kingdom of Arles,Kingdom of France,4417.6177978515625
Southern Qi,Chámpa,4411.448638677597
Kingdom of Bosnia,Republic of Ragusa,4404.366405487061
Stateless & unmapped,Comtat Venaissin,4397.299560546875
Stateless & unmapped,Western Jin,4387.224614143372
Duchy of Benevento,Papal States,4376.8590087890625
Mali Empire,Spanish Empire,4366.296283721924
Duchy of Aquitaine,County of Anjou,4365.069274902344
Stateless & unmapped,County of Foix,4362.631248474121
Avar Khaganate,Great Moravia,4358.391164779663
Sind-Habbari Dynasty,Chauhan Dynasty,4340.830047607422
Holy Roman Empire,(Kingdom of Denmark),4339.9071044921875
French Consulate,Swiss Confederation,4327.520645141602
Stateless & unmapped,Empire of Brazil,4314.157692015171
House of Savoy,(Holy Roman Empire),4307.422912597656
Great Seljuk Empire,Lohara Dynasty,4298.679246902466
Margraviate of Moravia,House of Habsburg,4294.103912353516
Mongol Empire,Kingdom of Serbia,4268.806396484375
Grand Duchy of Lithuania,Teutonic Order,4263.282913208008
Roman Empire,Burgundians,4257.170166015625
Ilkhanate,Kingdom of Georgia,4242.506851196289
New Sweden,English Colonial Empire,4242.346264958382
Stateless & unmapped,Republic of Yemen,4238.574157714844
Duchy of the Archipelago,Principality of Achaea,4229.440202713013
Byzantine Empire,House of Anjou-Sicily,4204.27734375
Qajar Dynasty,Caucasian Imamate,4193.481071472168
Ayutthaya Kingdom,Stateless & unmapped,4192.361763000488
Kingdom of Afghanistan,Republic of Tajikistan,4191.79833984375
Tibetans,Stateless & unmapped,4182.75867164135
French Africa,Democratic Republic of the Congo,4167.2949142456055
Chaulukya Dynasty,Paramara Dynasty,4151.763977050781
Republic of Venice,Kingdom of Spain,4150.696044921875
Armenian Kingdom of Cilicia,Stateless & unmapped,4144.396743774414
Burgundians,Western Roman Empire,4141.201232910156
Duchy of Bavaria,(Holy Roman Empire),4136.950225830078
Neo-Hittite states,Stateless & unmapped,4119.717498779297
Kingdom of Bohemia,Electorate of Saxony,4104.063934326172
Stateless & unmapped,Kingdom of Israel,4100.817608642578
Kutai Kingdom,Sultanate of Kutai Kartanegara,4095.363440990448
(Kingdom of France),County of Anjou,4094.854248046875
Brandenburg-Prussia,Polish-Lithuanian Commonwealth,4084.698028564453
Greek City-States,Odrysian Kingdom,4078.0370299339293
Kingdom of Arles,Holy Roman Empire Minor States,4075.8721923828125
Kingdom of France,County of Vermandois,4073.878173828125
Papal States,Norman Italy,4072.9134826660156
Union of Soviet Socialist Republics,Islamic Republic of Iran,4072.4603881835938
Roman Republic,Thracian Kingdom,4053.6274253845213
Republic of Genoa,Kingdom of France,4051.117919921875
Principality of Bulgaria,Kingdom of Greece,4049.5781326293945
Wei,Qi,4045.1773071289062
Taifa of Dénia,Taifa of Almería,4039.371551513672
Ligurian Republic,Duchy of Parma and Piacenza,4031.819091796875
Muhammad Ali dynasty,Kingdom of Italy,4028.972069978714
Balhae,Stateless & unmapped,4027.6658868789673
Stateless & unmapped,Kingdom of the Suebi,4023.7398796081543
Stateless & unmapped,Demak Sultanate,4006.85302734375
Sind-Habbari Dynasty,Ghaznavid Empire,4002.0852813720703
(Habsburg Monarchy),Principality of Hohenzollern-Sigmaringen,3978.71484375
Crimean Khanate,Ottoman Empire,3966.7111740112305
Sukhothai Kingdom,Lan Na Kingdom,3965.002128601074
Tarumanagara,Stateless & unmapped,3962.217269897461
Qin,Xiongnu,3961.7069976806642
Burgundian Kingdom,Kingdom of Italy,3960.656162261963
Sultanate of Perak,Sultanate of Kedah,3960.4042358398438
Ghaznavid Empire,(Delhi Sultanate),3957.69775390625
Stateless & unmapped,New Sweden,3951.5913672447205
Taifa of Zaragoza,County of Urgell,3949.2991943359375
Republic of Peru,Republic of Colombia,3944.4924179315567
Stateless & unmapped,Trucial States,3938.103280685842
First Hellenic Republic,German Empire,3935.9599609375
(Holy Roman Empire),(Batavian Republic),3932.185546875
House of Habsburg,Margraviate of Moravia,3903.7307739257812
Ahmadnagar Sultanate,Portuguese Colonies,3903.06640625
(Kingdom of Bohemia),Kingdom of Hungary,3890.3065185546875
Electorate of Hanover,Duchy of Mecklenburg,3889.0625
Polish-Lithuanian Commonwealth,Stateless & unmapped,3880.821944475174
County of Périgord,Kingdom of England,3873.567626953125
British Raj,Kingdom of Bhutan,3870.989013671875
Kingdom of Polonnaruwa,Stateless & unmapped,3864.3236923217773
Republic of Genoa,Crown of Aragon,3850.207565307617
Czechoslovakia,Second Republic of Austria,3835.992431640625
Turks,Karkota Dynasty,3831.734889574349
Patriarchate of Aquileia,Stateless & unmapped,3819.795654296875
Funj Sultanate,Stateless & unmapped,3818.4529814720154
Lombards,Bavarians,3791.8641510009766
Hubaekje,Stateless & unmapped,3790.289840698242
