year,polity_id,country_iso,population
850,Middle Franks,DEU,246154.45812404592
850,Middle Franks,FRA,1571721.665219979
850,Middle Franks,HRV,18322.877487807615
850,Middle Franks,ITA,1880970.5958285825
850,Middle Franks,LUX,31136.35781945427
850,Middle Franks,NLD,252244.78102728198
850,Middle Franks,SMR,812.6141885447016
850,Middle Franks,SVN,32906.76608563115
850,Byzantine Empire,ALB,122289.37692570928
850,Byzantine Empire,BGR,110690.44066052219
850,Byzantine Empire,BIH,2244.9549912196476
850,Byzantine Empire,GRC,864642.2350652957
850,Byzantine Empire,HRV,12427.839927862477
850,Byzantine Empire,ITA,295362.0910248603
850,Byzantine Empire,MLT,2112.8988640348043
850,Byzantine Empire,RUS,33124.98067213799
850,Byzantine Empire,TUR,4595540.378395348
850,Turk Shahis,AFG,1659613.1635859138
850,Turk Shahis,PAK,87488.03176300727
850,Turk Shahis,TJK,1566.0090434637998
850,Nanzhao,CHN,3265450.774083636
850,Nanzhao,LAO,40413.86373981999
850,Nanzhao,MMR,6105.573845806068
850,Nanzhao,VNM,314047.985662092
850,Yenisei Kyrgyz,MNG,2.1703595100614037
850,Yenisei Kyrgyz,RUS,33705.3588651155
850,Pagan Kingdom,MMR,30914.992826461792
850,West Franks,AND,4365.408547739705
850,West Franks,BEL,68968.51505100151
850,West Franks,ESP,251080.25341811113
850,West Franks,FRA,3797615.8124777777
850,West Franks,NLD,2505.4002461350524
850,Kimek-Kipchak confederation,CHN,254.49351803264423
850,Kimek-Kipchak confederation,KAZ,527624.4870990774
850,Kimek-Kipchak confederation,RUS,22895.243915106697
850,Chola Empire,IND,550676.8551940918
850,Aghlabid Dynasty,DZA,463225.38098266366
850,Aghlabid Dynasty,ITA,5480.7314776818075
850,Aghlabid Dynasty,LBY,599250.1812175309
850,Aghlabid Dynasty,TUN,627568.2089472091
850,Balhae,CHN,959097.9170716663
850,Balhae,PRK,290383.327883956
850,Balhae,RUS,470960.72363562085
850,Rashtrakuta Dynasty,IND,25896212.50426954
850,Karkota Dynasty,AFG,6168.733800851357
850,Karkota Dynasty,IND,435073.9573736214
850,Karkota Dynasty,PAK,589551.4367053516
850,Puebloans - Chaco Regional System,USA,4664.5653003156185
850,Kingdom of Pamplona,ESP,133509.90976779186
850,Kingdom of Pamplona,FRA,4848.600570037712
850,Pyu City-States,MMR,559301.3740692139
850,Kashmir,-99,18974.749169830637
850,Kashmir,CHN,96645.33881301028
850,Kashmir,IND,567987.9334855677
850,Kashmir,PAK,31297.702374338875
850,East Franks,AUT,602361.8513694151
850,East Franks,BIH,32068.90762604754
850,East Franks,CHE,202945.18293278373
850,East Franks,CZE,7973.898489742592
850,East Franks,DEU,1966692.4954556122
850,East Franks,FRA,2597.961202463944
850,East Franks,HRV,254019.40063507258
850,East Franks,HUN,311761.35460647056
850,East Franks,ITA,44170.47904760791
850,East Franks,LIE,1144.5351442697788
850,East Franks,NLD,31761.907802632268
850,East Franks,SRB,1812.2285622215315
850,East Franks,SVN,144097.84541866236
850,Gurjara-Pratihara Dynasty,IND,13003209.729397524
850,Gurjara-Pratihara Dynasty,PAK,682346.8459400644
850,Later Mayan City-States,BLZ,26863.688502085868
850,Later Mayan City-States,GTM,51379.75556651389
850,Later Mayan City-States,MEX,449719.391115721
850,Great Moravia,AUT,78517.01873019933
850,Great Moravia,CZE,225891.27258104188
850,Great Moravia,HUN,127700.15971960551
850,Great Moravia,POL,53198.70580640686
850,Great Moravia,SVK,375029.74354955676
850,Abbasid Caliphate,AFG,1029218.2627977929
850,Abbasid Caliphate,ARE,211431.81221237333
850,Abbasid Caliphate,ARM,88664.56192910911
850,Abbasid Caliphate,AZE,249447.66138155386
850,Abbasid Caliphate,BHR,1436.6634775857833
850,Abbasid Caliphate,EGY,1791955.4909703226
850,Abbasid Caliphate,GEO,137299.0061286486
850,Abbasid Caliphate,IRN,4854945.607626749
850,Abbasid Caliphate,IRQ,1312661.3913720266
850,Abbasid Caliphate,ISR,64505.01723834317
850,Abbasid Caliphate,JOR,266536.30406306835
850,Abbasid Caliphate,KAZ,121470.89610067887
850,Abbasid Caliphate,KGZ,128653.91634960764
850,Abbasid Caliphate,KWT,51958.699568626434
850,Abbasid Caliphate,LBN,26905.25445247676
850,Abbasid Caliphate,LBY,448924.4966429761
850,Abbasid Caliphate,OMN,933542.431547208
850,Abbasid Caliphate,PAK,1054635.2359793654
850,Abbasid Caliphate,PSE,18503.455912336314
850,Abbasid Caliphate,QAT,32911.44503010089
850,Abbasid Caliphate,RUS,7909.809382818679
850,Abbasid Caliphate,SAU,5756093.260174272
850,Abbasid Caliphate,SYR,555787.7596113738
850,Abbasid Caliphate,TJK,268670.79771378345
850,Abbasid Caliphate,TKM,1319742.7069195837
850,Abbasid Caliphate,TUR,741053.5598148431
850,Abbasid Caliphate,UZB,624346.6951697955
850,Abbasid Caliphate,YEM,1346668.2505573488
850,Tibetans,BTN,106.80915787872915
850,Tibetans,CHN,488606.52332057967
850,Tibetans,IND,12410.054244095927
850,Tibetans,NPL,2487.06370297368
850,Emirate of Sicily,ITA,132802.34398269653
900,Kingdom of Brycheiniog,GBR,6443.012741088867
900,Kingdom of Morgannwg,GBR,4195.751419067383
900,Pandya Dynasty,IND,5159862.288452148
900,Alodia,SDN,310652.70101106167
900,Anurādhapura,LKA,749999.9993409514
900,Haripuñjaya,LAO,5704.743761660706
900,Haripuñjaya,MMR,2230.978147825487
900,Haripuñjaya,THA,190485.0634889971
900,Volga Bulgaria,RUS,51181.20194625109
900,Classic Veracruz Culture,MEX,299805.7667261362
900,Cornwall,GBR,27141.35398864746
900,Mataram Kingdom,IDN,1038071.1416044236
900,Idrisids,DZA,197537.8603574018
900,Idrisids,MAR,1180231.3601869366
900,Ghana Empire,MLI,126396.09911731388
900,Ghana Empire,MRT,67216.21956348662
900,Barghawata Conference,MAR,251843.54487609863
900,Emirate of Nekor,DZA,0.8053459301217716
900,Emirate of Nekor,MAR,58908.73224791143
900,Lavo Kingdom,MMR,895.6991609568701
900,Lavo Kingdom,THA,384267.349655128
900,Kingdom of Axum,ERI,78987.75884750178
900,Kingdom of Axum,ETH,131580.05361554335
900,Heian Japan,JPN,5326769.036753655
900,Emirate of Crete,GRC,49467.99386930466
900,Duchy of Naples,ITA,243724.82708740237
900,Makuria,EGY,21898.82809410264
900,Makuria,SDN,55050.85000825653
900,Yenisei Kyrgyz,MNG,2.2451383516830963
900,Yenisei Kyrgyz,RUS,34866.66310097708
900,Balhae,CHN,1041910.0184192613
900,Balhae,PRK,315456.110495975
900,Balhae,RUS,511625.23398669006
900,Puebloans - Chaco Regional System,USA,4938.951500654221
900,Gurjara-Pratihara Dynasty,IND,16257152.684346737
900,Gurjara-Pratihara Dynasty,PAK,590864.5015768377
900,Kamarupa Kingdom,BGD,26880.46186688188
900,Kamarupa Kingdom,BTN,7600.580252860618
900,Kamarupa Kingdom,IND,1602031.2838804713
900,Pyu City-States,MMR,470199.7623558045
900,Pagan Kingdom,MMR,141645.33767318726
900,Srivijaya,IDN,415886.20740829443
900,Srivijaya,MYS,174930.5689811517
900,Srivijaya,SGP,554.1589335968971
900,Srivijaya,THA,83816.30546996152
900,Principality of Serbia,ALB,2025.1619719279336
900,Principality of Serbia,BIH,118039.19857005206
900,Principality of Serbia,HRV,2736.2609970519816
900,Principality of Serbia,MNE,71865.15502316985
900,Principality of Serbia,SRB,42115.69774199736
900,County of Aragon,ESP,13752.142210615111
900,County of Aragon,FRA,286.7782758350825
900,Giudicato of Cagliari,ITA,65475.78262138367
900,Ziyadid dynasty,SAU,230172.44319956464
900,Ziyadid dynasty,YEM,2055672.3705535633
900,Giudicato of Gallura,ITA,14707.954119682312
900,Giudicato of Logudoro,ITA,32592.14782476425
900,Giudicato of Arborea,ITA,15741.523818969728
900,Later Mayan City-States,BLZ,28766.120045650063
900,Later Mayan City-States,GTM,55018.36489906196
900,Later Mayan City-States,MEX,481567.59972432663
900,Strathclyde,GBR,28557.75414608419
900,Tibetans,BTN,114.73903528143308
900,Tibetans,CHN,524924.9540693633
900,Tibetans,IND,13328.442255559756
900,Tibetans,NPL,2671.711823499904
900,Kashmir,-99,20250.126709984426
900,Kashmir,CHN,104755.4619655301
900,Kashmir,IND,1094352.068637891
900,Kashmir,PAK,211006.92210187856
900,Khmer Empire,KHM,670735.3747985543
900,Khmer Empire,LAO,191323.848656609
900,Khmer Empire,THA,378852.75184605067
900,Khmer Empire,VNM,205092.04719909234
900,Chámpa,KHM,262.69342454920405
900,Chámpa,LAO,128.342826164285
900,Chámpa,VNM,174243.48878884016
900,Sind-Habbari Dynasty,IND,267558.43445200607
900,Sind-Habbari Dynasty,PAK,1725052.5165339024
900,County of Ribagorza,ESP,155669.6449891738
900,County of Ribagorza,FRA,6667.180415947063
900,Scandinavian minor kingdoms,DEU,17748.421664859536
900,Scandinavian minor kingdoms,DNK,145033.194421088
900,Scandinavian minor kingdoms,NOR,2672.5588295043835
900,Scandinavian minor kingdoms,RUS,144.8343529028049
900,Scandinavian minor kingdoms,SWE,575270.4001703596
900,Oghuz Turks,KAZ,31711.97061741586
900,Oghuz Turks,TKM,2279.4047744100135
900,Oghuz Turks,UZB,6130.044954739669
900,Kingdom of Asturias,ESP,948996.5125700033
900,Kingdom of Asturias,PRT,221545.70549597396
900,Emirate of Sicily,ITA,402754.6084414121
900,Emirate of Sicily,MLT,4012.0707272890663
900,Brythons,GBR,70356.73206186295
900,Kingdom of Northumbria,GBR,56639.835220336914
900,Kingdom of Gwynedd,GBR,17247.586671829224
900,Principality of Salerno,ITA,178934.0918045044
900,Cyprus Condominium,CYP,174999.9999923706
900,Shirvan,AZE,98382.0957493131
900,Shirvan,IRN,123.82915778258631
900,Shirvan,RUS,541.860673278623
900,Kingdom of the Iberians,ARM,304.8379756485801
900,Kingdom of the Iberians,GEO,1914.9904795668679
900,Kingdom of the Iberians,TUR,125255.86409294035
