country_iso,year,gdppc
GRC,1550,1496.5272925764193
GRC,1600,1503.6779475982532
GRC,1650,1510.8286026200874
GRC,1700,1517.9792576419213
GRC,1750,1525.1299126637555
GRC,1800,1532.2805676855896
GRC,1850,1607.0
GRC,1900,1972.0
GRC,1950,3052.0
GRC,2000,20965.3318
GRC,2015,22442.0
GTM,1950,3323.0
GTM,2000,5860.2719
GTM,2015,7138.0
HKG,1850,1206.4
HKG,1900,2022.046511627907
HKG,1950,4082.0
HKG,2000,32894.0108
HKG,2015,47777.0
HND,1950,2018.0
HND,2000,3335.7154
HND,2015,4706.0
HRV,2000,13244.5407
HRV,2015,19698.0
HTI,1950,1790.0
HTI,2000,1520.7292
HTI,2015,1742.0
HUN,1900,2681.0
HUN,1950,3953.0
HUN,2000,13129.2731
HUN,2015,22788.0
IDN,1850,724.0
IDN,1900,1151.0
IDN,1950,1280.0
IDN,2000,5384.3867
IDN,2015,10484.0
IND,1600,1264.0
IND,1650,1189.0
IND,1700,1162.0
IND,1750,1068.0
IND,1800,1033.686274509804
IND,1850,947.0
IND,1900,955.0
IND,1950,987.0
IND,2000,2753.0855
IND,2015,5794.0
IRL,1850,2256.6
IRL,1900,3897.8372093023254
IRL,1950,5504.0
IRL,2000,38806.5014
IRL,2015,54278.0
IRN,50,1109.561847168774
IRN,100,1102.9923034634414
IRN,150,1096.422759758109
IRN,200,1089.8532160527764
IRN,250,1083.2836723474436
IRN,300,1076.714128642111
IRN,350,1070.1445849367785
IRN,400,1063.5750412314458
IRN,450,1057.0054975261132
IRN,500,1050.4359538207807
IRN,550,1043.8664101154482
IRN,600,1037.2968664101154
IRN,650,1030.7273227047829
IRN,700,1024.1577789994503
IRN,750,1017.5882352941177
IRN,800,1011.018691588785
IRN,850,1004.4491478834525
IRN,900,997.8796041781198
IRN,950,991.3100604727872
IRN,1000,984.7405167674547
IRN,1050,978.170973062122
IRN,1100,971.6014293567895
IRN,1150,965.0318856514568
IRN,1200,958.4623419461243
IRN,1250,951.8927982407916
IRN,1300,945.323254535459
IRN,1350,938.7537108301265
IRN,1400,932.1841671247938
IRN,1450,925.6146234194612
IRN,1500,919.0450797141286
IRN,1550,912.4755360087961
IRN,1600,905.9059923034634
IRN,1650,899.3364485981308
IRN,1700,892.7669048927983
IRN,1750,886.1973611874656
IRN,1800,879.627817482133
IRN,1850,924.4
IRN,1900,1178.5581395348836
IRN,1950,2742.0
IRN,2000,9104.763
IRN,2015,16253.0
IRQ,50,1139.525377229081
IRQ,100,1163.530864197531
IRQ,150,1187.5363511659807
IRQ,200,1211.5418381344307
IRQ,250,1235.5473251028807
IRQ,300,1259.5528120713307
IRQ,350,1283.5582990397806
IRQ,400,1307.5637860082304
IRQ,450,1331.5692729766804
IRQ,500,1355.5747599451304
IRQ,550,1379.5802469135801
IRQ,600,1403.5857338820301
IRQ,650,1427.59122085048
IRQ,700,1451.59670781893
IRQ,750,1454.2222222222222
IRQ,800,1424.7777777777778
IRQ,850,1395.3333333333333
IRQ,900,1365.888888888889
IRQ,950,1336.4444444444443
IRQ,1000,1307.0
IRQ,1050,1214.0833333333333
IRQ,1100,1121.1666666666667
IRQ,1150,1075.1285714285714
IRQ,1200,1060.3428571428572
IRQ,1250,1045.557142857143
IRQ,1300,1030.7714285714285
IRQ,1350,1015.9857142857143
IRQ,1400,1001.2
IRQ,1450,986.4142857142857
IRQ,1500,971.6285714285714
IRQ,1550,956.8428571428572
IRQ,1600,942.0571428571428
IRQ,1650,927.2714285714286
IRQ,1700,912.4857142857143
IRQ,1750,897.7
IRQ,1800,882.9142857142857
IRQ,1850,924.4
IRQ,1900,1178.5581395348836
IRQ,1950,2174.0
IRQ,2000,3649.4929
IRQ,2015,13014.0
ISL,1950,8498.0
ISL,2000,33108.291
ISL,2015,39727.0
ISR,50,1200.8260646485378
ISR,100,1287.383273473576
ISR,150,1373.9404822986146
