polity_id,year,urban_pop
Caliphate of Córdoba,1000,1311252.6766595289
Caliphate of Córdoba,1050,255000.0
Canada,1950,2533000.0
Canada,2000,1016000.0
Canada,2015,1016000.0
Cao Cao,200,1222016.7643451001
Cao Wei,250,1674666.6842676348
Carnatic Sultanate,1750,131195.9568421156
Carnatic Sultanate,1800,251177.17744862178
Carthage,-300,36304.34782608696
Catalan Company,1350,28571.428571428572
Chagatai Khanate,1300,300078.18642870337
Chagatai Khanate,1350,317655.12355836184
Chagatai Khanate,1400,103297.0324394327
Chagatai Khanate,1450,106625.19346789223
Chalukya Dynasty,650,116992.63947430841
Chalukya Dynasty,700,66004.37529319781
Chalukya Dynasty,750,82103.79168993633
Chandela Kingdom,1000,40000.0
Chandela Kingdom,1200,50000.0
Chandela Kingdom,1250,46578.794642857145
Chandela Kingdom,1300,43157.58928571429
Chaulukya Dynasty,950,180000.0
Chaulukya Dynasty,1000,200000.0
Chaulukya Dynasty,1050,100000.0
Chaulukya Dynasty,1100,100000.0
Chaulukya Dynasty,1150,179812.5
Chaulukya Dynasty,1200,181750.0
Chiangmai,1800,27352.941176470587
Chiangmai,1850,25099.252336448597
Chimu Empire,1400,25000.0
Chobanids,1350,179140.19520851818
Chola Empire,900,70000.0
Chola Empire,950,218571.42857142858
Chola Empire,1000,217142.85714285716
Chola Empire,1050,177887.40972799849
Chola Empire,1100,224305.22780805198
Chola Empire,1150,159581.95571313912
Chola Empire,1200,98812.97561119903
Chu,-450,150000.0
Chu,-400,100000.0
Chámpa,1100,16795.580110497238
Chámpa,1150,24530.386740331494
Chámpa,1200,32265.193370165747
Chámpa,1250,40000.0
Chámpa,1300,40000.0
Chámpa,1350,50000.0
Chámpa,1400,50000.0
Chámpa,1450,42957.74647887324
Cispadane Republic,1800,33000.0
Commonwealth of Australia,1950,4147000.0
Commonwealth of Australia,2000,11498000.0
Commonwealth of Australia,2015,11498000.0
Commonwealth of England,1650,555173.9914599798
Commune of the Zealots,1350,46000.0
Communist Cuba,2000,2192000.0
Communist Cuba,2015,2192000.0
Comtat Venaissin,1300,25594.594594594593
Comtat Venaissin,1350,34545.454545454544
Comtat Venaissin,1400,20000.0
Comtat Venaissin,1450,18323.741007194243
Comtat Venaissin,1750,24000.0
County of Barcelona,950,2000.0
County of Barcelona,1000,7932.203389830509
County of Barcelona,1050,10351.648351648351
County of Barcelona,1100,12000.0
County of Barcelona,1150,13500.0
County of Blôis,1100,14000.0
County of Brabant,1300,14000.0
County of Champagne,1000,16000.0
County of Edessa,1100,41000.0
County of Foix,1450,2575.0
County of Foix,1500,11966.75
County of Savoy,1500,10717.741935483871
County of Toulouse,1150,25925.32467532467
County of Toulouse,1200,81571.42857142857
Crimean Khanate,1450,16412.213740458013
Crimean Khanate,1500,40458.01526717557
Crimean Khanate,1550,42003.81679389313
Crimean Khanate,1600,43549.61832061069
Crimean Khanate,1650,36595.419847328245
Crimean Khanate,1700,29641.221374045803
Crimean Khanate,1750,25687.022900763357
Crown of Aragon,1200,30000.0
Crown of Aragon,1250,90414.35711040437
Crown of Aragon,1300,172000.0
Crown of Aragon,1350,122816.5160538042
Crown of Aragon,1400,155615.38461538462
Crown of Aragon,1450,218589.2076762326
Crown of Aragon,1500,174000.0
Crown of Castile,1250,323747.7059057719
Crown of Castile,1300,321431.84064605634
Crown of Castile,1350,305598.0079523149
Crown of Castile,1400,289764.17525857355
Crown of Castile,1450,298439.1796097243
Crown of Castile,1500,378314.4976759688
Cyrenaica,-325,32717.391304347824
Cyrenaica,-320,32608.695652173912
Cyrenaica,-300,32173.91304347826
Cyrenaica,-250,31086.956521739132
Czech Republic,2000,1193000.0
Czech Republic,2015,1193000.0
Czechoslovakia,1950,1673000.0
